data[0] size (num: 29, frame: 62)
data[1] size (num: 29, frame: 62)
window_size: 20, threshold: 0.7
time:5.38143
( 1,  4) dt:(frame:  -20, time:-1.7659), st:(frame:   10, time:0.9186), r: -0.7510901
( 1,  4) dt:(frame:  -19, time:-1.6775), st:(frame:   11, time:1.0041), r: -0.7796593
( 1,  4) dt:(frame:  -18, time:-1.5857), st:(frame:   10, time:0.9186), r: -0.7934918
( 1,  4) dt:(frame:  -17, time:-1.5051), st:(frame:   11, time:1.0041), r: -0.7467913
( 1,  4) dt:(frame:  -16, time:-1.4187), st:(frame:   10, time:0.9186), r: -0.7060867
( 1,  4) dt:(frame:   -9, time:-0.8431), st:(frame:   11, time:1.0041), r: -0.7270072
( 1,  4) dt:(frame:   -8, time:-0.6825), st:(frame:   11, time:1.0041), r: -0.8304059
( 1,  4) dt:(frame:   -7, time:-0.6017), st:(frame:   11, time:1.0041), r: -0.8482868
( 1,  4) dt:(frame:   -6, time:-0.5192), st:(frame:   11, time:1.0041), r: -0.7782989
( 1,  4) dt:(frame:   -5, time:-0.4335), st:(frame:   12, time:1.0908), r: -0.7216051
( 1,  4) dt:(frame:   -4, time:-0.3456), st:(frame:   26, time:2.2928), r: 0.7020327
( 1,  4) dt:(frame:   -3, time:-0.2603), st:(frame:    0, time:0.0000), r: 0.8194388
( 1,  4) dt:(frame:   -2, time:-0.1723), st:(frame:    5, time:0.4335), r: 0.8630163
( 1,  4) dt:(frame:   -1, time:-0.0864), st:(frame:    0, time:0.0000), r: 0.7293376
( 1,  4) dt:(frame:    7, time:0.6017), st:(frame:    2, time:-0.4294), r: 0.7322909
( 1,  4) dt:(frame:    8, time:0.6825), st:(frame:    2, time:-0.5101), r: 0.7220372
( 1,  4) dt:(frame:    9, time:0.8431), st:(frame:    2, time:-0.6708), r: 0.7136049
( 1,  4) dt:(frame:   15, time:1.3341), st:(frame:   10, time:-0.4155), r: -0.7244204
( 1,  4) dt:(frame:   16, time:1.4187), st:(frame:    9, time:-0.5756), r: -0.7065555
(1, 5): 
( 1,  5) dt:(frame:  -17, time:-1.5051), st:(frame:   25, time:2.2023), r: 0.7334475
( 1,  5) dt:(frame:  -16, time:-1.4187), st:(frame:   24, time:2.1063), r: 0.7467833
( 1,  5) dt:(frame:  -10, time:-0.9186), st:(frame:    0, time:0.0000), r: 0.7776207
( 1,  5) dt:(frame:   -9, time:-0.8431), st:(frame:    2, time:0.1723), r: 0.9401578
( 1,  5) dt:(frame:   -8, time:-0.6825), st:(frame:    1, time:0.0864), r: 0.8694804
( 1,  5) dt:(frame:   -7, time:-0.6017), st:(frame:   26, time:2.2928), r: -0.7383993
( 1,  5) dt:(frame:    0, time:0.0000), st:(frame:   25, time:2.2023), r: 0.7435838
( 1,  5) dt:(frame:    1, time:0.0864), st:(frame:   19, time:1.5911), r: 0.7981051
( 1,  5) dt:(frame:    2, time:0.1723), st:(frame:   14, time:1.0811), r: 0.8037065
( 1,  5) dt:(frame:    3, time:0.2603), st:(frame:   17, time:1.2448), r: 0.7313897
( 1,  5) dt:(frame:   10, time:0.9186), st:(frame:    6, time:-0.3994), r: -0.7064750
(1, 6): 
( 1,  6) dt:(frame:  -35, time:-3.0795), st:(frame:    7, time:0.6017), r: 0.7768997
( 1,  6) dt:(frame:  -34, time:-2.9976), st:(frame:    5, time:0.4335), r: 0.7905889
( 1,  6) dt:(frame:  -33, time:-2.9003), st:(frame:    9, time:0.8431), r: 0.7480801
( 1,  6) dt:(frame:  -25, time:-2.2023), st:(frame:    9, time:0.8431), r: 0.8036495
( 1,  6) dt:(frame:  -24, time:-2.1063), st:(frame:    9, time:0.8431), r: 0.8593355
